"country_name","v2x_polyarchy","v2x_libdem","v2x_feduni","v2x_divparctrl","v2jureview","d_bicam","v2xcl_rol","e_gdppc","lvaw_garriga","ind_cso"
"Georgia",0.49446875,0.32809375,0.31459375,-0.828875,1.0618125,0,0.69190625,7.03293333333333,0.749121222222222,0.370625
"German Democratic Republic",0.672,0.527,0.559,-0.293,-2.209,0,0.928,12.678,NA,0.42
"Germany",0.89465625,0.85621875,0.995375,-0.3238125,1.768,1,0.99259375,37.2281333333333,0.694875,0.7740625
"Ghana",0.63384375,0.54240625,0.1789,0.40890625,1.4074375,0,0.86453125,3.54006666666667,0.427601475652174,0.5553125
"Greece",0.87853125,0.7858125,0.8449375,-0.422375,1.82,0,0.9588125,24.0921666666667,0.728336956521739,0.4121875
"Guatemala",0.53153125,0.35853125,0.4443125,0.88896875,1.817,0,0.4741875,5.68203333333333,0.730847826086957,0.5075
"Guinea",0.27496875,0.11234375,0.2026875,-1.20275,0.9638125,0,0.3599375,1.97676666666667,0.490266447368421,0.6490625
"Guinea-Bissau",0.3949375,0.23975,0,0.1579375,1.12459375,0,0.526,1.47393333333333,0.8015,0.5253125
"Guyana",0.54784375,0.3654375,0.88053125,0.89371875,1.189875,0,0.783625,6.85296666666667,0.652674873333333,0.4803125
"Haiti",0.37903125,0.22315625,0.41575,1.0226875,1.3299375,1,0.50096875,1.64053333333333,0.3755,0.5103125
"Honduras",0.4925,0.28378125,0.39121875,-0.72975,1.47025,0,0.6221875,3.86486666666667,0.590945652173913,0.6490625
"Hong Kong",0.355,0.29584375,0,1.083,1.78,0,0.948125,NA,NA,0.529375
"Hungary",0.763,0.6621875,0.9374375,-0.47984375,1.789,0,0.9405,17.5246,0.722820665217391,0.578125
"Iceland",0.87196875,0.78940625,0.487,-0.21884375,0.284,0,0.9780625,41.8460333333333,0.59632925,0.715625
"India",0.68015625,0.54403125,0.93884375,0.4948125,1.278125,1,0.72003125,3.7145,0.295,0.3984375
"Indonesia",0.53846875,0.380125,0.651875,0.251375,0.8540625,0.5625,0.58475,6.47543333333333,0.632599326086957,0.60625
"Iran",0.19565625,0.14103125,0.02984375,0.90971875,0.74584375,0,0.39846875,8.9933,0.43627194,0.5378125
"Iraq",0.271625,0.164125,0.452375,-0.1134375,0.3606875,0,0.25103125,6.80726666666667,0.703,0.6446875
"Ireland",0.87903125,0.80346875,0.45103125,-0.17578125,1.819,1,0.96728125,42.9553333333333,0.685012584347826,0.6946875
"Israel",0.7540625,0.66925,0.47134375,0.37803125,1.904,0,0.91190625,30.8837,0.490358695652174,0.6778125
"Italy",0.85375,0.774875,0.988375,0.113,1.198,1,0.9519375,32.0415333333333,0.747702906956522,0.4640625
